Priority,Subpriority,Focus area
1,,"Fostering knowledge transfer and innovation in agriculture, forestry, and rural areas"
2,,Enhancing farm viability and competitiveness of all types of agriculture in all regions and promoting innovative farm technologies and sustainable management of forest
3,,"Promoting food chain organisation, including processing and marketing of agricultural products, animal welfare and risk management in agriculture"
4,,"Restoring, preserving and enhancing ecosystems related to agriculture and forestry"
5,,"Promoting resource efficiency and supporting the shift towards a low carbon and climate resilient economy in agriculture, food and forestry sectors"
6,,Promoting social inclusion poverty reduction and economic development in rural areas
1,1A,"Fostering innovation, cooperation, and the development of the knowledge base in rural areas"
1,1B,"Strengthening the links between agriculture, food production and forestry and research and innovation, including for the purpose of improved environmental management and performance"
1,1C,Fostering lifelong learning and vocational training in the agricultural and forestry sectors
2,2A,"Improving the economic performance of all farms and facilitating farm restructuring and modernisation, notably with a view to increasing market participation and orientation as well as agricultural diversification"
2,2B,"Facilitating the entry of adequately skilled farmers into the agricultural sector and, in particular, generational renewal"
3,3A,"Improving competitiveness of primary producers by better integrating them into the agri-food chain through quality schemes, adding value to agricultural products, promotion in local markets and short supply circuits, producer groups and organisations and inter-branch organisations"
3,3B,Supporting farm risk prevention and management
4,4A,"Restoring, preserving and enhancing biodiversity, including in Natura 2000 areas, and in areas facing natural or other specific constraints, and high nature value farming, as well as the state of European landscapes"
4,4B,"Improving water management, including fertiliser and pesticide management"
4,4C,Preventing soil erosion and improving soil management
5,5A,Increasing efficiency in water use by agriculture
5,5B,Increasing efficiency in energy use in agriculture and food processing
5,5C,"Facilitating the supply and use of renewable sources of energy, of by-products, wastes and residues and of other non-food raw material, for the purposes of the bio-economy"
5,5D,Reducing greenhouse gas and ammonia emissions from agriculture
5,5E,Fostering carbon conservation and sequestration in agriculture and forestry
6,6A,"Facilitating diversification, creation and development of small enterprises, as well as job creation"
6,6B,Fostering local development in rural areas
6,6C,"Enhancing the accessibility, use and quality of information and communication technologies (ICT) in rural areas"