COD_LOCALE_PROGETTO;SOGG_COD_RUOLO;SOGG_DESCR_RUOLO;SOGG_PROGR_RUOLO;OC_CODICE_FISCALE_SOGG;OC_DENOMINAZIONE_SOGG;COD_FORMA_GIURIDICA_SOGG;DESCR_FORMA_GIURIDICA_SOGG;COD_COMUNE_SEDE_SOGG;INDIRIZZO_SOGG;CAP_SOGG;COD_ATECO_SOGG;DESCRIZIONE_ATECO_SOGG;COD_ADDETTI_SOGG;DESCR_ADDETTI_SOGG;COD_DIMENSIONE_SOGG;DESCR_DIMENSIONE_SOGG
17EM0223544;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0223544;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0228885;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0228885;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0235574;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0235574;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0235733;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0235733;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0235756;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0235756;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237231;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237231;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237525;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237525;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237539;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237539;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237554;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237554;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237569;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237569;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237593;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0237593;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239383;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239383;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239402;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239402;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239427;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239427;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239472;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239472;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239534;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239534;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239757;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0239757;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0240601;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0240601;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0240610;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0240610;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0240614;1;Programmatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
17EM0240614;2;Attuatore del progetto;1;;REGIONE EMILIA ROMAGNA;40270;Regione;;;;O-84.11.10;;;;; 
1BOPG-2/61/2010;1;Programmatore del progetto;1;390090215;ABTEILUNG TOURISMUS 36 - RIPARTIZIONE TURISMO 36;43923;Provincia;4021008;;;O-84.13.80;Regolamentazione degli affari e servizi concernenti il turismo;;;; 
1BOPG-2/61/2010;2;Attuatore del progetto;1;1312410218;LVH-BILDUNG UND SERVICE GEN.;43922;Società  cooperativa diversa;4021008;;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1CA128C342007IT051PO001;1;Programmatore del progetto;1;80011990639;REGIONE CAMPANIA;40270;Regione;15000000;Via S. Lucia, 81;80132;O-84.11.10;;;;; 
1CA128C342007IT051PO001;2;Attuatore del progetto;1;2566110645;COOPERATIVA SOCIALE LA GIRELLA;11049;Società  cooperativa sociale;15064008;Via Nicolodi, 27;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1CA128C42007IT161PO009;1;Programmatore del progetto;1;80011990639;REGIONE CAMPANIA;40270;Regione;15000000;Via S. Lucia, 81;80132;O-84.11.10;;;;; 
1CA128C42007IT161PO009;2;Attuatore del progetto;1;547330639;COMUNE DI CAPRI;11050;Comune;15063014;p.za Umberto I ,9;;O-84.11.10;;;;; 
1CA128C432007IT051PO001;1;Programmatore del progetto;1;80011990639;REGIONE CAMPANIA;40270;Regione;15000000;Via S. Lucia, 81;80132;O-84.11.10;;;;; 
1CA128C432007IT051PO001;2;Attuatore del progetto;1;94092190639;IC QUASIMODO;40331;Istituto e scuola pubblica di ogni ordine e grado;15063030;Via Provinciale 1;80020;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1CA128C482007IT051PO001;1;Programmatore del progetto;1;80011990639;REGIONE CAMPANIA;40270;Regione;15000000;Via S. Lucia, 81;80132;O-84.11.10;;;;; 
1CA128C482007IT051PO001;2;Attuatore del progetto;1;94065760632;A.C.I.I.E.F. ASSOCIAZIONE CULTURALE ITALIANA INFORMAZIONE E;40360;Associazione riconosciuta;15063049;aaaaaaaaaaaaaaaaaaaaaaaa;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;1;Media impresa
1CL99241;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99241;2;Attuatore del progetto;1;91006950793;PROVINCIA DI CROTONE;43923;Provincia;18101000;Via Mario Nicoletta, 28;88100;O-84.11.10;;;;; 
1CL99242;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99242;2;Attuatore del progetto;1;91006950793;PROVINCIA DI CROTONE;43923;Provincia;18101000;Via Mario Nicoletta, 28;88100;O-84.11.10;;;;; 
1CL99243;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99243;2;Attuatore del progetto;1;91006950793;PROVINCIA DI CROTONE;43923;Provincia;18101000;Via Mario Nicoletta, 28;88100;O-84.11.10;;;;; 
1CL99244;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99244;2;Attuatore del progetto;1;91006950793;PROVINCIA DI CROTONE;43923;Provincia;18101000;Via Mario Nicoletta, 28;88100;O-84.11.10;;;;; 
1CL99245;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99245;2;Attuatore del progetto;1;91006950793;PROVINCIA DI CROTONE;43923;Provincia;18101000;Via Mario Nicoletta, 28;88100;O-84.11.10;;;;; 
1CL99277;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99277;2;Attuatore del progetto;1;;REGIONE CALABRIA;40270;Regione;18000000;Via Massara,2;88100;O-84.11.10;;;;; 
1CL99278;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99278;2;Attuatore del progetto;1;;REGIONE CALABRIA;40270;Regione;18000000;Via Massara,2;88100;O-84.11.10;;;;; 
1CL99279;1;Programmatore del progetto;1;;AMMINISTRAZIONE REGIONALE - REGIONE CALABRIA;40270;Regione;;;;O-84.11.10;;;;; 
1CL99279;2;Attuatore del progetto;1;;REGIONE CALABRIA;40270;Regione;18000000;Via Massara,2;88100;O-84.11.10;;;;; 
1EM2007-240/PR;1;Programmatore del progetto;1;80062590379;REGIONE EMILIA ROMAGNA;33055;Altra forma di ente privato con personalità  giuridica;;;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1EM2007-240/PR;2;Attuatore del progetto;1;80152680379;IRECOOP EMILIA-ROMAGNA SOCIETA' COOPERATIVA;43922;Società  cooperativa diversa;;;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1EM2007-241/FE;1;Programmatore del progetto;1;80062590379;REGIONE EMILIA ROMAGNA;33055;Altra forma di ente privato con personalità  giuridica;;;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1EM2007-241/FE;2;Attuatore del progetto;1;93061010380;FONDAZIONE SAN GIUSEPPE CFP C.E.S.T.A.;44013;Fondazione (esclusa fondazione bancaria);;;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1EM2007-241/MO;1;Programmatore del progetto;1;80062590379;REGIONE EMILIA ROMAGNA;33055;Altra forma di ente privato con personalità  giuridica;;;;P-85.59.20;Corsi di formazione e corsi di aggiornamento professionale;;;; 
1EM2007-241/MO;2;Attuatore del progetto;1;2483780363;FORMODENA - FORMAZIONE PROFESSIONALE PER I TERRITORI MODENESI SOC.CONS.A.R.L.;43952;Società  consortile;;;;P-85.32.09;Altra istruzione secondaria di secondo grado di formazione tecnica, professionale e artistica;;;; 